Cod_IBGE,Região,UF,Município,Cadinsan_absoluto_com_PBF,Cadinsan_absoluto_sem_PBF,Cadastros_Cadunico,Cadinsan_proporcional_com_PBF,Cadinsan_proporcional_sem_PBF
3304557,Sudeste,Rio de Janeiro,Rio de Janeiro,97708,144648,521373,"18,7%","27,7%"
3550308,Sudeste,São Paulo,São Paulo,81179,119251,724672,"11,2%","16,5%"
2927408,Nordeste,Bahia,Salvador,57160,76754,292251,"19,6%","26,3%"
1302603,Norte,Amazonas,Manaus,51682,158736,257490,"20,1%","61,6%"
1501402,Norte,Pará,Belém,45879,104488,178059,"25,8%","58,7%"
2304400,Nordeste,Ceará,Fortaleza,44890,43139,297358,"15,1%","14,5%"
3303500,Sudeste,Rio de Janeiro,Nova Iguaçu,26041,35069,125840,"20,7%","27,9%"
5300108,Centro-Oeste,Distrito Federal,Brasília,21632,24544,204511,"10,6%","12,0%"
3301702,Sudeste,Rio de Janeiro,Duque de Caxias,19454,33206,115682,"16,8%","28,7%"
2611606,Nordeste,Pernambuco,Recife,19107,38701,157438,"12,1%","24,6%"
3300456,Sudeste,Rio de Janeiro,Belford Roxo,17156,24187,76506,"22,4%","31,6%"
3106200,Sudeste,Minas Gerais,Belo Horizonte,16819,23234,126550,"13,3%","18,4%"
2704302,Nordeste,Alagoas,Maceió,16039,26126,110102,"14,6%","23,7%"
2607901,Nordeste,Pernambuco,Jaboatão dos Guararapes,15538,24594,88586,"17,5%","27,8%"
3304904,Sudeste,Rio de Janeiro,São Gonçalo,14377,20406,80896,"17,8%","25,2%"
2111300,Nordeste,Maranhão,São Luís,13794,30439,124185,"11,1%","24,5%"
2507507,Nordeste,Paraíba,João Pessoa,11585,16673,82648,"14,0%","20,2%"
4314902,Sul,Rio Grande do Sul,Porto Alegre,11558,13090,101007,"11,4%","13,0%"
2211001,Nordeste,Piauí,Teresina,11510,11454,88516,"13,0%","12,9%"
3518800,Sudeste,São Paulo,Guarulhos,11389,18529,101281,"11,2%","18,3%"
1600303,Norte,Amapá,Macapá,9358,31405,61153,"15,3%","51,4%"
1506807,Norte,Pará,Santarém,9271,33062,60388,"15,4%","54,7%"
2800308,Nordeste,Sergipe,Aracaju,9165,14116,62080,"14,8%","22,7%"
1100205,Norte,Rondônia,Porto Velho,9097,26697,59567,"15,3%","44,8%"
