municipio,nome_municipio_uf,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,idhm_educ_sub_freq
5300108,Brasília (DF),0.29399999999999998,"0,412","0,265","0,204",0.82399999999999995,"0,873","0,742","0,863","0,723","0,751"
5200134,Acreúna (GO),0.314,"0,245","0,369","0,328",0.68600000000000005,"0,822","0,553","0,710","0,398","0,652"
5200159,Adelândia (GO),0.311,"0,204","0,287","0,441",0.70199999999999996,"0,836","0,622","0,664","0,395","0,780"
5200506,Aloândia (GO),0.26900000000000002,"0,092","0,335","0,381",0.69699999999999995,"0,834","0,585","0,694","0,416","0,693"
5200555,Alto Horizonte (GO),0.19500000000000001,"0,021","0,290","0,274",0.71899999999999997,"0,841","0,624","0,709","0,439","0,744"
5200605,Alto Paraíso de Goiás (GO),0.32200000000000001,"0,151","0,402","0,412",0.71299999999999997,"0,819","0,611","0,723","0,533","0,654"
5200803,Alvorada do Norte (GO),0.38800000000000001,"0,236","0,510","0,418",0.66,"0,819","0,548","0,640","0,400","0,641"
5200829,Amaralina (GO),0.36199999999999999,"0,028","0,469","0,589",0.60899999999999999,"0,813","0,489","0,569","0,294","0,630"
5200852,Americano do Brasil (GO),0.29699999999999999,"0,227","0,320","0,345",0.7,"0,813","0,631","0,669","0,430","0,765"
5200902,Amorinópolis (GO),0.311,"0,245","0,345","0,342",0.68100000000000005,"0,813","0,579","0,672","0,383","0,711"
5201207,Anhanguera (GO),0.159,"0,090","0,252","0,135",0.72499999999999998,"0,802","0,657","0,724","0,618","0,677"
5201306,Anicuns (GO),0.24399999999999999,"0,122","0,310","0,299",0.71399999999999997,"0,834","0,627","0,695","0,455","0,736"
5201108,Anápolis (GO),0.24,"0,159","0,312","0,248",0.73699999999999999,"0,822","0,660","0,737","0,609","0,687"
5201454,Aparecida do Rio Doce (GO),0.28999999999999998,"0,014","0,476","0,380",0.69299999999999995,"0,814","0,583","0,700","0,427","0,681"
5201504,Aporé (GO),0.35899999999999999,"0,330","0,408","0,338",0.69299999999999995,"0,823","0,584","0,692","0,412","0,695"
5201702,Aragarças (GO),0.25900000000000001,"0,182","0,325","0,269",0.73199999999999998,"0,830","0,680","0,694","0,560","0,750"
5202155,Araguapaz (GO),0.29499999999999998,"0,076","0,352","0,458",0.67400000000000004,"0,814","0,540","0,696","0,399","0,628"
5201603,Araçu (GO),0.34200000000000003,"0,393","0,374","0,260",0.69299999999999995,"0,838","0,578","0,686","0,371","0,721"
5202353,Arenópolis (GO),0.32100000000000001,"0,130","0,317","0,515",0.68700000000000006,"0,826","0,582","0,674","0,362","0,738"
5202502,Aruanã (GO),0.27,"0,086","0,432","0,291",0.67500000000000004,"0,826","0,526","0,708","0,388","0,612"
5202601,Aurilândia (GO),0.314,"0,152","0,332","0,459",0.7,"0,836","0,620","0,661","0,393","0,778"
5202809,Avelinópolis (GO),0.28699999999999998,"0,040","0,433","0,388",0.66,"0,828","0,508","0,682","0,320","0,640"
5203104,Baliza (GO),0.46,"0,484","0,436","0,459",0.65500000000000003,"0,819","0,558","0,614","0,328","0,727"
5203203,Barro Alto (GO),0.246,"0,127","0,361","0,250",0.74199999999999999,"0,854","0,682","0,701","0,511","0,788"
5203401,Bom Jardim de Goiás (GO),0.371,"0,327","0,486","0,299",0.67,"0,811","0,545","0,680","0,365","0,666"
5203500,Bom Jesus de Goiás (GO),0.32700000000000001,"0,299","0,376","0,306",0.70099999999999996,"0,860","0,573","0,699","0,435","0,658"
5203575,Bonópolis (GO),0.308,"0,038","0,527","0,358",0.63,"0,813","0,488","0,630","0,303","0,620"
5203807,Britânia (GO),0.29199999999999998,"0,100","0,410","0,366",0.67200000000000004,"0,802","0,546","0,692","0,375","0,658"
5203906,Buriti Alegre (GO),0.27200000000000002,"0,092","0,383","0,341",0.71,"0,831","0,614","0,700","0,476","0,697"
5203939,Buriti de Goiás (GO),0.251,"0,084","0,403","0,265",0.68700000000000006,"0,806","0,570","0,707","0,377","0,701"
5203962,Buritinópolis (GO),0.36299999999999999,"0,228","0,333","0,528",0.70399999999999996,"0,813","0,591","0,727","0,385","0,732"
5204102,Cachoeira Alta (GO),0.36699999999999999,"0,413","0,315","0,372",0.71,"0,840","0,569","0,750","0,465","0,630"
5204250,Cachoeira Dourada (GO),0.27100000000000002,"0,183","0,319","0,310",0.69799999999999995,"0,804","0,602","0,703","0,438","0,706"
5204201,Cachoeira de Goiás (GO),0.25,"0,039","0,323","0,387",0.72699999999999998,"0,838","0,674","0,680","0,454","0,821"
5204409,Caiapônia (GO),0.28899999999999998,"0,119","0,380","0,367",0.69299999999999995,"0,808","0,588","0,701","0,409","0,705"
5204508,Caldas Novas (GO),0.20899999999999999,"0,107","0,309","0,212",0.73299999999999998,"0,832","0,640","0,739","0,573","0,677"
5204607,Campestre de Goiás (GO),0.30499999999999999,"0,127","0,441","0,346",0.65300000000000002,"0,799","0,556","0,628","0,382","0,671"
5204656,Campinaçu (GO),0.33300000000000002,"0,084","0,427","0,487",0.63100000000000001,"0,819","0,476","0,644","0,291","0,609"
5204706,Campinorte (GO),0.26700000000000002,"0,104","0,341","0,355",0.68799999999999994,"0,841","0,565","0,685","0,401","0,670"
5204805,Campo Alegre de Goiás (GO),0.27400000000000002,"0,180","0,339","0,304",0.69399999999999995,"0,811","0,586","0,702","0,423","0,689"
5204854,Campo Limpo de Goiás (GO),0.311,"0,181","0,440","0,311",0.66100000000000003,"0,829","0,533","0,654","0,351","0,657"
