"nr_caf";"ds_tipo_area";"ds_tipo_unidade_medida";"nr_area";"cd_municipio";"sg_uf";"nm_municipio";"ds_tipo_localizacao_area";"ds_condicao_dominio";"st_imovel_principal";"nr_latitude";"nr_longitude"
6;Terra;ha;2.20;"5300108";DF;Brasília;Rural;Proprietário;true;-15.771184;-48.180337
8;Terra;ha;5.00;"5300108";DF;Brasília;Rural;Comodatário;true;-15.769219876173404;-48.18303644657135
9;Terra;ha;5.00;"5300108";DF;Brasília;Rural;Comodatário;true;-15.769197785910054;-48.181733233180125
10;Terra;ha;0.54;"5300108";DF;Brasília;Rural;Posseiro;true;-15.833844362375778;-48.17548334598541
14;Terra;ha;50.00;"2409803";RN;Pedro Velho;Rural;Posseiro;true;-6.450598307183013;-35.26163935661316
15;Terra;ha;15.36;"2402600";RN;Ceará-Mirim;Rural;Assentado da reforma agrária;true;-5.5180122851810145;-3538362022051478
17;Terra;ha;14.00;"2402600";RN;Ceará-Mirim;Rural;Assentado da reforma agrária;true;-5.518299606664946;-35.37891626358032
18;Terra;ha;70.00;"2411106";RN;Ruy Barbosa;Rural;Comodatário;true;-5.8439592499188375;-35.97474747940661
20;Terra;ha;4.58;"2409803";RN;Pedro Velho;Rural;Proprietário;true;-6.468888;-35.263055
23;Terra;ha;2.00;"2409803";RN;Pedro Velho;Rural;Comodatário;true;-6.48495455884436;-35.24905023581773
24;Terra;ha;22.00;"2401701";RN;Bom Jesus;Rural;Proprietário;true;-6.005231466169274;-35.56338518857956
24;Terra;ha;195.57;"2401701";RN;Bom Jesus;Rural;Proprietário;false;-6.005871663388891;-35.563623905181885
27;Terra;ha;8.57;"3136504";MG;Jordânia;Rural;Posseiro;true;-15.808211;-40.421461
29;Terra;ha;22.30;"3146305";MG;Padre Paraíso;Rural;Posseiro;true;-17.103674109798604;-41.415421845403664
30;Terra;ha;9.70;"5219001";GO;Sanclerlândia;Rural;Proprietário;true;-16.1115;-50.1624
32;Terra;ha;15.00;"2414704";RN;Várzea;Rural;Posseiro;true;-6.365021297587688;-35.38165748119354
34;Terra;ha;104.60;"5106216";MT;Nova Canaã do Norte;Rural;Assentado da reforma agrária;true;-10.543516584649868;-55.94281733036041
39;Terra;ha;2.00;"5300108";DF;Brasília;Rural;Parceiro/meeiro;true;-15.79766371380254;-47.64085633376784
42;Terra;ha;45.00;"5107156";MT;Reserva do Cabaçal;Rural;Posseiro;true;-15.138378864927926;-58.32349736752859
43;Terra;ha;3.00;"3146305";MG;Padre Paraíso;Rural;Posseiro;true;-17.126419;-41.60513
45;Terra;ha;2.00;"3146305";MG;Padre Paraíso;Rural;Comodatário;true;-17.168922;-41.638922
