Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS016282,Ação Cristã Espírita Jesus de Nazaré,"Rua Itamogi, 14",Sepetiba,23545-120,RIO DE JANEIRO,,RJ,munikaragaoadv@gmail.com,09.398.631/0001-85,"Sim, está funcionando normalmente",1 a 3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",190,,-23.003136,-43.319296
CS014987,ACATSISAL,"RUA 17 DE MARÇO, 194, 1º andar",CRUZEIRO,48700-000,SERRINHA,,BA,acatbacat@gmail.com,03.376.965/0001-71,"Não, a Cozinha encontra-se paralisada, sem atividade",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",120,,-11.6635181,-38.9954874
CS015111,Amigos voluntários para sempre,"Rua Francisco Rocha, casa,",Lage,44770-000,PINDOBAÇU,,BA,nascimentojaine57@gmail.com,05.437.846/0001-07,"Não, a Cozinha encontra-se paralisada, sem atividade",1 vez por semana,Não Habilitada,Outros grupos de pessoas em situação de vulnerabilidade social,130,,-10.7266548,-40.3555451
CS016724,Associação Alimentando com Amor,"rua santo antonio, 731",cidade alta,59025-520,NATAL,,RN,alimentandocomamor731@gmail.com,51.753.476/0001-34,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",85,,-5.7963334,-35.2038452
CS016862,ASSOCIAÇAO BENEFICENTE ANA BEATRIZ,"RUA RUI BARBOSA, 453, 453",CENTRO,28300-000,ITAPERUNA,,RJ,ABABITAPERUNA@GMAIL.COM,30.407.795/0001-18,"Sim, está funcionando normalmente",6 a 7 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",160,,-21.1943424,-41.8906112
CS014755,Associação dos Agricultores e Agricultoras do Município de Minador do Negrão,"Povoado Jiquiri, s/n",Zona rural,57615-000,MINADOR DO NEGRÃO,,AL,associacaodosagricultores2013@gmail.com,18.802.943/0001-01,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",632,,-9.303951,-36.884941
CS016568,ASSOCIACAO DOS REMANESCENTES DO QUILOMBO DO DESERTO EM CAUCAIA,"povoado do Deserto n° 47, 47",DESERTO,61616-992,CAUCAIA,,CE,Pinheiroleo425@gmail.com,20.661.541/0001-78,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",204,,-3.777545,-38.6713321
CS016244,Associação Filantrópica Casa de Apoio Social RNA,"Rua Goianapolis, 453",Alexandrina,75060-220,ANÁPOLIS,,GO,ellysamaaireslo@gmail.com,04.566.353/0001-04,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1700,,-16.2982071,-48.9568263
CS015014,Associação Rosas de Ouro,"Rua Vigário Jobim, 116",Divisa,97573-350,SANTANA DO LIVRAMENTO,,RS,rosasdeourolvto@gmail.com,34.319.535/0001-41,Está funcionando com carga horária reduzida,Uma vez ao mês,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",120,,-30.8878239,-55.546221
CS014558,Casa da Tia Grazi,"Nossa senhora do Brasil número 54, 54",Morro santa Tereza,90850-510,PORTO ALEGRE,,RS,grazielaconceicao41@gmail.com,54.683.964/0001-00,Está funcionando com carga horária reduzida,2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",220,,-30.0699477,-51.222456
CS015412,casa do pão,"Rua principal número, 103",Clima bom,57071-201,MACEIÓ,,AL,institutobeneficentebelem@gmail.com,15.597.640/0001-06,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1310,,-9.5707881,-35.7782043
CS015527,Casa Mirants,"Rua bandeirantes, 4",Nova esperança,33141-140,SANTA LUZIA,,MG,Papsaude@nossacidade.net,21.964.646/0001-69,"Não, a Cozinha encontra-se paralisada, sem atividade",1 vez por semana,Não Habilitada,-,0,,-19.7655819,-43.9401023
CS016854,CAVALEIROS,"RUA MAURÍCIO SIROTSKI SOBRINHO , Nº 891, 891",SÍTIO SÃO JOSÉ,94430-030,VIAMÃO,,RS,danielasabores@gmail.com,07.753.608/0001-36,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Outros grupos de pessoas em situação de vulnerabilidade social, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único",300,,-30.0949954,-51.02765729999999
CS016954,CENTRO DE APOIO AOS IRMAOS EM SITUAÇÃO DE RUA,"RUA IBIRAPUITÃ, 130",ROCHA MIRANDA,21510-200,RIO DE JANEIRO,,RJ,jullyana.moura1994@gmail.com,46.567.824/0001-49,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1070,,-22.8589568,-43.4929664
CS016337,Cidadania,"Garbosa,, 772",Vila Tinguá,26385-150,QUEIMADOS,,RJ,rosangelasouza929@gmail.com,,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",125,,-22.7054736,-43.56068519999999
CS016973,Cidadania Plena de Belford Roxo-RJ,"R POTIGUARES SN QD U LT 9, FRENTE (CASA 1),HELIOPOLIS, 26140-530 BELFORD, 0",Heliopolis,26140-530,BELFORD ROXO,,RJ,Institutocidadaniaplena.org@gmail.com,18.683.612/0001-91,Está funcionando com carga horária reduzida,5 vezes por semana,Habilitada,"Outros grupos de pessoas em situação de vulnerabilidade social, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública",595,,-22.7349029,-43.42383359999999
CS017317,Ciranda contra a fome,"Avenida Conselheiro Rosa e Silva, 257",Graças,52020-220,RECIFE,,PE,MARILIAARRUDA@OUTLOOK.COM,,"Não, a Cozinha encontra-se paralisada, sem atividade",Uma vez ao mês,Não Habilitada,"Outros grupos de pessoas em situação de vulnerabilidade social, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1000,,-8.049078,-34.8966176
CS016487,CONSTRUINDO UM FUTURO MELHOR,"QR 304 Conjunto H Lote 01, Salas 02 e 03, Área Especial, S/ NÚMERO",Santa Maria,72504-508,BRASÍLIA,,DF,genesisqualificacao@gmail.com,45.498.410/0001-42,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Outros grupos de pessoas em situação de vulnerabilidade social, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, A cozinha não faz triagem do público beneficiário",289,,-16.0322058,-48.0273692
