Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS016282,AÇÃO CRISTÃ ESPÍRITA JESUS DE NAZARÉ,"Rua Itamogi, 14",Sepetiba,23545-120,RIO DE JANEIRO,3304557,RJ,munikaragaoadv@gmail.com,09.398.631/0001-85,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",348,225,-8.371893,-33.847402
CS014987,ACATSISAL,"RUA 2 DE JULHO, 37",Centro,48700-000,SERRINHA,2930501,BA,acatbacat@gmail.com,03.376.965/0001-71,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",120,50,-19.832134,-44.326219
CS016249,AGROVILA SÃO LUIZ,"Fazenda São Luiz, 1",Zona Rural,57700-000,VIÇOSA,2709400,AL,agrovilasl@gmail.com,32.875.546/0001-82,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",475,150,-2.320874,-45.602643
CS015205,AIRE - ACOLHIMENTO E INTEGRAÇÃO AO REFUGIADO,"Rua Washington Luis, 368",Parque Sete de Setembro,09919-190,DIADEMA,3513801,SP,tarsila.nomoto@aire.org.br,40.949.907/0001-16,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",80,70,-3.736923,-45.443939
CS016724,ASSOCIAÇÃO ALIMENTANDO COM AMOR,"rua santo antonio, 731",cidade alta,59025-520,NATAL,2408102,RN,alimentandocomamor731@gmail.com,51.753.476/0001-34,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",154,250,-1.653988,-61.221955
CS016862,ASSOCIAÇAO BENEFICENTE ANA BEATRIZ,"RUA RUI BARBOSA, 453, 453",CENTRO,28300-000,ITAPERUNA,3302205,RJ,ABABITAPERUNA@GMAIL.COM,30.407.795/0001-18,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",160,250,-22.572720,-43.008708
CS014755,ASSOCIAÇÃO DOS AGRICULTORES E AGRICULTORAS DO MUNICÍPIO DE MINADOR DO NEGRÃO,"Povoado Jiquiri, s/n",Zona rural,57615-000,MINADOR DO NEGRÃO,2705309,AL,associacaodosagricultores2013@gmail.com,18.802.943/0001-01,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",632,3,-14.953366,-48.797210
CS016568,ASSOCIACAO DOS REMANESCENTES DO QUILOMBO DO DESERTO EM CAUCAIA,"povoado do Deserto n° 47, 47",DESERTO,61616-992,CAUCAIA,2303709,CE,quilombolasdeserto@yahoo.com.br,20.661.541/0001-78,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",204,100,-4.520130,-60.836204
CS016244,ASSOCIAÇÃO FILANTRÓPICA CASA DE APOIO SOCIAL RNA,"Rua Goianapolis, 453",Alexandrina,75060-220,ANÁPOLIS,5201108,GO,ellysamaaireslo@gmail.com,04.566.353/0001-04,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1700,6,4.140914,-60.253900
CS015014,ASSOCIAÇÃO ROSAS DE OURO,"Rua Vigário Jobim, 116",Divisa,97573-350,SANT'ANA DO LIVRAMENTO,4317103,RS,rosasdeourolvto@gmail.com,34.319.535/0001-41,Está funcionando com carga horária reduzida,Uma vez ao mês,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",120,100,-6.226588,-33.973469
