Código da Cozinha,Nome da Cozinha,Endereço da Cozinha,Bairro da Cozinha,CEP,Município da Cozinha,Código IBGE,UF,Email,CNPJ,A cozinha está em funcionamento atualmente?,Em quantos dias da semana a Cozinha Solidária funciona?,Situação,Público Atendido,Público Total Atendido,Quantidade refeições produzidas por dia de trabalho,Latitude,Longitude
CS016282,AÇÃO CRISTÃ ESPÍRITA JESUS DE NAZARÉ,"Rua Itamogi, 14",Sepetiba,23545-120,RIO DE JANEIRO,3304557,RJ,munikaragaoadv@gmail.com,09.398.631/0001-85,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",348,225,-22.9632323,-43.7075766
CS014987,ACATSISAL,"RUA 2 DE JULHO, 37",Centro,48700-000,SERRINHA,2930501,BA,acatbacat@gmail.com,03.376.965/0001-71,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",120,50,-11.6603784,-39.0078992
CS016249,AGROVILA SÃO LUIZ,"Fazenda São Luiz, 1",Zona Rural,57700-000,VIÇOSA,2709400,AL,agrovilasl@gmail.com,32.875.546/0001-82,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",475,150,-9.3800589,-36.2464602
CS015205,AIRE - ACOLHIMENTO E INTEGRAÇÃO AO REFUGIADO,"Rua Washington Luis, 368",Parque Sete de Setembro,09919-190,DIADEMA,3513801,SP,tarsila.nomoto@aire.org.br,40.949.907/0001-16,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",80,70,-23.6937020,-46.6274854
CS016724,ASSOCIAÇÃO ALIMENTANDO COM AMOR,"rua santo antonio, 731",cidade alta,59025-520,NATAL,2408102,RN,alimentandocomamor731@gmail.com,51.753.476/0001-34,"Sim, está funcionando normalmente",7 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",154,250,-5.7874438,-35.2091155
CS016862,ASSOCIAÇAO BENEFICENTE ANA BEATRIZ,"RUA RUI BARBOSA, 453, 453",CENTRO,28300-000,ITAPERUNA,3302205,RJ,ABABITAPERUNA@GMAIL.COM,30.407.795/0001-18,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",160,250,-21.2006237,-41.8891244
CS014755,ASSOCIAÇÃO DOS AGRICULTORES E AGRICULTORAS DO MUNICÍPIO DE MINADOR DO NEGRÃO,"Povoado Jiquiri, s/n",Zona rural,57615-000,MINADOR DO NEGRÃO,2705309,AL,associacaodosagricultores2013@gmail.com,18.802.943/0001-01,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",632,3,-9.3082598,-36.8665692
CS016568,ASSOCIACAO DOS REMANESCENTES DO QUILOMBO DO DESERTO EM CAUCAIA,"povoado do Deserto n° 47, 47",DESERTO,61616-992,CAUCAIA,2303709,CE,quilombolasdeserto@yahoo.com.br,20.661.541/0001-78,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Agricultores Familiares e Campesinos, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Outros grupos de pessoas em situação de vulnerabilidade social",204,100,-3.7338109,-38.7053914
CS016244,ASSOCIAÇÃO FILANTRÓPICA CASA DE APOIO SOCIAL RNA,"Rua Goianapolis, 453",Alexandrina,75060-220,ANÁPOLIS,5201108,GO,ellysamaaireslo@gmail.com,04.566.353/0001-04,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1700,6,-16.2982639,-48.9568944
CS015014,ASSOCIAÇÃO ROSAS DE OURO,"Rua Vigário Jobim, 116",Divisa,97573-350,SANT'ANA DO LIVRAMENTO,4317103,RS,rosasdeourolvto@gmail.com,34.319.535/0001-41,Está funcionando com carga horária reduzida,Uma vez ao mês,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",120,100,-30.8878173,-55.5462250
CS014912,CAFÉ DAS MÃES,"Avenida Engenheiro Richard 25, 25",Grajaú,20561-092,RIO DE JANEIRO,3304557,RJ,direcao@grupoanjosdatiastellinha.org.br,27.481.838/0001-09,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",900,250,-22.9209119,-43.2600650
CS016708,CARIDADE ROSA,"Rua Brasil, 35., 35",Santa Maria,49039-095,ARACAJU,2800308,SE,institutocaridaderosa@gmail.com,50.200.339/0001-00,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",480,250,-10.9762239,-37.0948847
CS014558,CASA DA TIA GRAZI,"Nossa senhora do Brasil número 54, 54",Morro santa Tereza,90850-510,PORTO ALEGRE,4314902,RS,grazielaconceicao41@gmail.com,54.683.964/0001-00,Está funcionando com carga horária reduzida,4 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",210,415,-30.0700791,-51.2225023
CS015412,CASA DO PÃO,"Rua principal número, 103",Clima bom,57071-201,MACEIÓ,2704302,AL,institutobeneficentebelem@gmail.com,15.597.640/0001-06,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",205,100,-9.5800244,-35.7844007
CS016954,CENTRO DE APOIO AOS IRMAOS EM SITUAÇÃO DE RUA,"RUA IBIRAPUITÃ, 130",ROCHA MIRANDA,21510-200,RIO DE JANEIRO,3304557,RJ,caisir2020@gmail.com,46.567.824/0001-49,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",1270,1400,-22.8423088,-43.3478976
CS015245,CENTRO DE INTEGRAÇÃO FAMILIAR,"Rua Direta de Tancredo Neves, 402",Tancredo Neves,41205-000,SALVADOR,2927408,BA,ceifarcp@gmail.com,03.598.003/0001-67,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",170,1340,-12.9419723,-38.4496181
CS016337,CIDADANIA,"Garbosa,, 772",Vila Tinguá,26385-150,QUEIMADOS,3304144,RJ,rosangelasouza929@gmail.com,,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Pessoas em situação de rua, Outros grupos de pessoas em situação de vulnerabilidade social",125,120,-22.7054691,-43.5606824
CS016905,COMUNIDADE BOM VIVER. (. BOM PRATO. ),"Rua João Manoel de Lima, 981",Jardim Paulista,14866-004,BARRINHA,3505609,SP,ilmagaia772@gmail.com,,"Sim, está funcionando normalmente",3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Assentados da Reforma Agrária, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",166,250,-21.1900189,-48.1510933
CS017303,CORAÇÕES QUE ALIMENTAM,"Rua Eduardo Dotto,, 40",PARIPE,40800-010,SALVADOR,2927408,BA,coracoesquealimentam@outlook.com,45.611.594/0001-05,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",600,600,-12.8391843,-38.4721029
CS014534,COZINHA AFETIVA COMUNITARIA SUSTENTAVEL,"Rua Manoel Soares da Costa, 13",Engenho,23821-740,ITAGUAÍ,3302007,RJ,cozinhaafetivacomunitariasustentavel@outlook.com,45.377.889/0001-69,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",1533,300,-22.8651724,-43.7878844
CS016759,COZINHA COM AFETO,"Visconde de Pelotas 116, 116",Centro,58010-670,JOÃO PESSOA,2507507,PB,albertofjacuma@gmail.com,16.812.887/0001-52,"Sim, está funcionando normalmente",1 vez por semana,Habilitada,"Mulheres, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",540,200,-7.1165539,-34.8830461
CS016671,COZINHA COMUNITARIA DEUS É FIEL,"rua dos potiguares, 4063",cidade nova,59072-820,NATAL,2408102,RN,edilma.cirilo@gmail.com,35.696.167/0001-13,Está funcionando com carga horária reduzida,3 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Agricultores Familiares e Campesinos, Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",627,382,-5.8353848,-35.2318147
CS014876,COZINHA COMUNITÁRIA SÃO BENEDITO,"QUILOMBO OITEIRO DOS NOGUEIRAS, sn",ZONA RURAL,65485-000,ITAPECURU MIRIM,2105401,MA,ass.oiteiro.quilombo@gmail.com,12.553.244/0001-80,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Assentados da Reforma Agrária, Outros grupos de pessoas em situação de vulnerabilidade social",71,100,-3.3361482,-44.4570594
CS016009,COZINHA COMUNTARIA SÃO MIGUEL - AEUSM,"Rua Medellín, 2914",Granja Lisboa,60540-000,FORTALEZA,2304400,CE,aeusm.ong@gmail.com,03.015.686/0001-82,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",175,100,-3.7916936,-38.6257719
CS015171,COZINHA DA AACOSSA,"Avenida Rui Barbosa, 188",Bonfim,44200-000,SANTO AMARO,2928604,BA,luisbarreto0022@gmail.com,,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Povos e comunidades tradicionais (indígenas, quilombolas, ribeirinhos, etc.), Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Outros grupos de pessoas em situação de vulnerabilidade social",277,390,-12.5454065,-38.7179416
CS014686,COZINHA DA CASA DOM HELDER CÂMARA,"Rua Visconde de Santa Isabel, 480, Cozinha da Casa Dom Helder Câmara",Grajaú,20650-121,RIO DE JANEIRO,3304557,RJ,contato@associacaoamar.org.br,04.090.760/0001-98,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Crianças, Outros grupos de pessoas em situação de vulnerabilidade social",120,20,-22.9175412,-43.2652015
CS014775,COZINHA DO ARROCHA,"Rua Doutor Olinto de Magalhães, 66",Vidigal,22450-250,RIO DE JANEIRO,3304557,RJ,Rafa.antunes9@gmail.com,31.275.343/0001-92,"Sim, está funcionando normalmente",2 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",670,650,-22.9938498,-43.2390182
CS015938,COZINHA EXPERIMENTAL LIA ESPERANÇA,"Rua da Caixa d’Água, 61",Vila Nova Esperança,05570-775,SÃO PAULO,3550308,SP,institutoliaesperanca@gmail.com,33.338.994/0001-00,"Sim, está funcionando normalmente",5 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Grupo específico vinculado a determinada localidade, atividade, serviço ou movimento, Outros grupos de pessoas em situação de vulnerabilidade social",590,200,-23.6053850,-46.7910288
CS016127,COZINHA FEHSOLNA,"shsn chacara 160c lote 01 av p1 trecho I sol nascente, ",Sol Nascente,72218-900,BRASÍLIA,5300108,DF,fehsolnadefe@gmail.com,03.635.287/0001-14,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",174,278,-15.8296846,-48.1188011
CS016992,COZINHA IRMÃ DULCE,"Rua Pergentino José Saippa, 4",Vila Nova,28630-210,NOVA FRIBURGO,3303401,RJ,caritasdiocesenf@gmail.com,30.553.481/0001-23,Está funcionando com carga horária reduzida,1 vez por semana,Habilitada,"Mulheres, Jovens, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Pessoas e famílias atingidas por situações de emergência ou calamidade pública, Imigrantes, Outros grupos de pessoas em situação de vulnerabilidade social",23,30,-22.2606016,-42.5320239
CS017138,COZINHA JARDIM SÃO LUIZ,"RUA SEBASTIAO MUNIZ DE SOUZA, 120",parque santo antonio,05821-150,SÃO PAULO,3550308,SP,amanhaparatodos_@hotmail.com,08.541.314/0001-03,"Sim, está funcionando normalmente",6 vezes por semana,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",584,587,-23.6655660,-46.7480386
CS017298,COZINHA NOVO MUNDO,"Rua Santa Maria, 64, 64",Santa Rita,35790-644,CURVELO,3120904,MG,apdsnovomundo@gmail.com,24.038.615/0001-75,"Não, a Cozinha encontra-se paralisada, sem atividade",5 vezes por semana,Habilitada,"Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",200,1,-18.7454865,-44.4508454
CS016511,COZINHA POPULAR SABORES DO CAMPO,"Rua 414, 270",Loteamento Pontal Norte,75708-350,CATALÃO,5205109,GO,cozinhasolidariapopularsabores@gmail.com,,Está funcionando com carga horária reduzida,Quinzenalmente,Habilitada,"Mulheres, Jovens, Crianças, Idosos, População LGBTQIA+, Trabalhadores informais diversos (Motoristas de aplicativos, motoboys, serventes ou outros), Pessoas em situação de rua, Famílias beneﬁciárias do Programa Bolsa Família e famílias inscritas no Cadastro Único , Outros grupos de pessoas em situação de vulnerabilidade social",60,250,-18.1729458,-47.9203112
